rule                          testcase0        godot    musl-rv32    musl-rv64  sqlite-rv32  sqlite-rv64
mem-pair                            897         2676         9026         4883         9740         8242
dual-indep-pair                     651         2489         3691         4918         7037         6858
mvload-jump-pair                    225          678         1801         1763         6495         6550
rsd-alu-pair                        529         1425         2331         2149         3637         3501
arith-jump-pair                     166          492         1595         1561         2849         2774
load-base-branch                     49          700          727          729         3513         3503
chain-alu-pair                      389          310         1504          962         1856         1191
arith-mem-pair                      110          120          592          507         1678         1623
chain-li-branch                      91          542          841          849         1124         1146
prologue-pair                       129          584          972         1048          901          894
dual-mem-addi-pair                   50          354          583          806          670          688
chain-bit-test-branch               535           56          261          257          919          905
addi-store-pair                     325          354          299          246          860          835
epilogue-pair                        64          293          579          457          467          440
load-sp-branch                        0          991          128          136          412          480
load-chain-alu-pair                   0          746          233          177          338          368
base-chain-load-pair                  0          203           14           17          606          609
pre-inc-pair                          0           93          152          139          464          430
addi-branch-pair                     92           71          173          184          264          266
deref-chain-load-pair                 0           41           24           24          251          270
store-chain-alu-pair                  0           10           96           62           44           58
dual-arith2-pair                     13            1           30            0           89            0
dual-mem-shadd-pair                   0            0            0            0            0            0
