b,w,h,n_blocks,tile_rows,tile_cols,total_cells,feasible,in_sample_frac,held_out_frac_mean,held_out_frac_std,held_out_mass_mean,held_out_mass_std,overlap_cells_mean,n_thinnings
0,0,7,1,128,1,128,0,0.000000,0.000000,0.000000,0.000,0.000,0.000,0
0,1,6,1,64,2,128,1,0.587470,0.589072,0.001893,18273.917,105.549,0.000,12
0,2,5,1,32,4,128,1,0.701423,0.700707,0.001850,21778.417,135.820,0.000,12
0,3,4,1,16,8,128,1,0.779853,0.779433,0.001125,24198.417,66.640,0.000,12
0,4,3,1,8,16,128,1,0.740222,0.740308,0.001247,22992.667,104.460,0.000,12
0,5,2,1,4,32,128,1,0.619167,0.619092,0.001170,19203.333,65.367,0.000,12
0,6,1,1,2,64,128,1,0.512532,0.512045,0.001678,15893.583,67.141,0.000,12
0,7,0,1,1,128,128,0,0.000000,0.000000,0.000000,0.000,0.000,0.000,0
1,0,6,2,64,1,128,1,0.589237,0.587686,0.001733,18213.167,98.871,0.000,12
1,1,5,2,32,2,128,1,0.704458,0.702748,0.002233,21839.833,84.028,0.000,12
1,2,4,2,16,4,128,1,0.785428,0.786091,0.001439,24392.833,79.518,0.000,12
1,3,3,2,8,8,128,1,0.802650,0.802107,0.002257,24925.333,117.520,7.167,12
1,4,2,2,4,16,128,1,0.743648,0.741859,0.001784,23065.417,100.727,0.000,12
1,5,1,2,2,32,128,1,0.620353,0.619441,0.002795,19202.833,98.945,0.000,12
1,6,0,2,1,64,128,1,0.511386,0.513041,0.001755,15926.083,54.404,0.000,12
2,0,5,4,32,1,128,1,0.705118,0.704694,0.001667,21871.667,121.901,0.000,12
2,1,4,4,16,2,128,1,0.794934,0.794137,0.001694,24685.000,126.625,0.000,12
2,2,3,4,8,4,128,1,0.811466,0.809796,0.001552,25155.917,157.571,9.000,12
2,3,2,4,4,8,128,1,0.815459,0.813939,0.002228,25299.000,125.143,3.500,12
2,4,1,4,2,16,128,1,0.743582,0.744272,0.001188,23107.750,119.506,0.000,12
2,5,0,4,1,32,128,1,0.621570,0.620430,0.001993,19285.917,97.660,0.000,12
3,0,4,8,16,1,128,1,0.800975,0.799997,0.002479,24848.167,114.368,0.000,12
3,1,3,8,8,2,128,1,0.847654,0.847552,0.001685,26352.167,138.770,1.167,12
3,2,2,8,4,4,128,1,0.836876,0.837281,0.003311,25996.750,125.233,5.583,12
3,3,1,8,2,8,128,1,0.833187,0.831091,0.001178,25771.083,62.597,0.000,12
3,4,0,8,1,16,128,1,0.749671,0.746268,0.002181,23195.583,108.791,0.000,12
